Year,MaxDischarge_cusecs,Rank,Exceedence_Probability,Non_Exceedence_Probability,Return_Period
2009,10139,1,0.022727272727272728,0.9772727272727273,44.0
2015,7796,2,0.045454545454545456,0.9545454545454546,22.0
2011,6339,3,0.06818181818181818,0.9318181818181819,14.666666666666668
2003,6203,4,0.09090909090909091,0.9090909090909091,11.0
2007,6189,5,0.11363636363636363,0.8863636363636364,8.8
1999,6000,6,0.13636363636363635,0.8636363636363636,7.333333333333334
2004,5789,7,0.1590909090909091,0.8409090909090909,6.285714285714286
2000,5500,8,0.18181818181818182,0.8181818181818181,5.5
1995,5500,8,0.18181818181818182,0.8181818181818181,5.5
2005,5204,10,0.22727272727272727,0.7727272727272727,4.4
1991,5000,11,0.25,0.75,4.0
1998,5000,11,0.25,0.75,4.0
1997,4000,13,0.29545454545454547,0.7045454545454546,3.3846153846153846
1993,4000,13,0.29545454545454547,0.7045454545454546,3.3846153846153846
1989,3700,15,0.3409090909090909,0.6590909090909092,2.9333333333333336
1988,3594,16,0.36363636363636365,0.6363636363636364,2.75
1984,3443,17,0.38636363636363635,0.6136363636363636,2.588235294117647
2016,3442,18,0.4090909090909091,0.5909090909090908,2.444444444444444
1990,3305,19,0.4318181818181818,0.5681818181818181,2.3157894736842106
2008,3278,20,0.45454545454545453,0.5454545454545454,2.2
1987,3225,21,0.4772727272727273,0.5227272727272727,2.0952380952380953
2002,3205,22,0.5,0.5,2.0
1986,3176,23,0.5227272727272727,0.4772727272727273,1.9130434782608696
2017,3168,24,0.5454545454545454,0.4545454545454546,1.8333333333333335
2014,3117,25,0.5681818181818182,0.43181818181818177,1.7599999999999998
2021,3000,26,0.5909090909090909,0.40909090909090906,1.6923076923076923
2019,2970,27,0.6136363636363636,0.38636363636363635,1.6296296296296295
2001,2943,28,0.6363636363636364,0.36363636363636365,1.5714285714285714
2020,2766,29,0.6590909090909091,0.34090909090909094,1.517241379310345
1996,2699,30,0.6818181818181818,0.31818181818181823,1.4666666666666668
1980,2510,31,0.7045454545454546,0.2954545454545454,1.4193548387096773
1985,2475,32,0.7272727272727273,0.2727272727272727,1.375
2012,2438,33,0.75,0.25,1.3333333333333333
1992,2212,34,0.7727272727272727,0.2272727272727273,1.2941176470588236
2013,2191,35,0.7954545454545454,0.20454545454545459,1.2571428571428571
1994,1978,36,0.8181818181818182,0.18181818181818177,1.222222222222222
2018,1800,37,0.8409090909090909,0.15909090909090906,1.1891891891891893
2010,1596,38,0.8636363636363636,0.13636363636363635,1.1578947368421053
1983,1551,39,0.8863636363636364,0.11363636363636365,1.1282051282051282
2006,1345,40,0.9090909090909091,0.09090909090909094,1.1
1981,1182,41,0.9318181818181818,0.06818181818181823,1.0731707317073171
2022,970,42,0.9545454545454546,0.045454545454545414,1.0476190476190477
1982,751,43,0.9772727272727273,0.022727272727272707,1.0232558139534884
